short_name,long_name,desc,route_type,color,text_color
35G,Hullabaloo Modified,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""2"",false,""1.5""]}",3,5E3C31,FFFFFF
22G,Excel Modified,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""2"",false,""1.5""]}",3,FD9FC8,00000
DTB,Downtown Bryan Shuttle,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3.0"",true,""1.5""]}",3,0032A0,FFFFFF
PAR, Para Shuttle,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,0081C9,00000
26G,Rudder Modified,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""2"",false,""1.5""]}",3,94D500,00000
BON, Bonfire,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,FFDD00,00000
WHR, WHR,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,00B497,00000
GTG,Get to the Grid,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3.5"",true,""1.5""]}",3,320000,FFFFFF
BL, Bush Library,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""5"",true,""2""]}",3,F6323E,00000
31G,E-Walk Modified,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""2"",false,""1.5""]}",3,783CBD,00000
STO, Stotzer,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,67B2E7,00000
RO, Reed/Olsen,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,FF48C3,00000
AGR, Agronomy Rd,"{""webLink"":true,""group"":""Game Day Routes"",""ttOverride"":[""3"",true,""1.5""]}",3,FF5000,00000
35,Hullabaloo,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,603813,FFFFFF
2,Replant,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,EA7401,00000
PARA,P-Transit,,3,DC143C,00000
8,Howdy,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,E9168B,00000
12,Reveille,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,0054A6,FFFFFF
OC,On Call,,3,DC143C,00000
9,Vet School,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,DC143C,00000
6,12th Man,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,14B24B,00000
15X,Old Army,,3,DC143C,00000
05X,Extra,,3,DC143C,00000
5/22X,extra,,3,DC143C,00000
4,Gig Em,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,EC2727,00000
15,Old Army,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,28903A,00000
N_W04,Night/Weekend 04,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,EC2727,00000
STBY,Standby,,3,DC143C,00000
40,Century Tree,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,55565A,00000
1,Bonfire,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,624099,00000
35EXC,Hullabaloo,,3,DC143C,00000
DISP,Student Dispatch,,3,DC143C,00000
5,Bush School,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,5E9BD3,00000
OCADM,OnCall Used,,3,DC143C,00000
3,Yell Practice,"{""webLink"":true,""group"":""On Campus"",""icon"":""""}",3,10101,FFFFFF
09X,09 Extra,,3,DC143C,00000
35EX,35X,,3,DC143C,00000
22EXC,Excel,,3,DC143C,00000
27,Ring Dance,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,00AEEF,00000
36,Cotton Bowl,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,967348,00000
22,Excel,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,BD1A8D,00000
26,Rudder,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,006F3B,FFFFFF
27EXD,Ring Dance,,3,DC143C,00000
31,E-Walk,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,662D91,00000
36EX,36X,,3,DC143C,00000
34,Fish Camp,"{""webLink"":true,""group"":""Off Campus"",""icon"":""""}",3,EA7424,00000
40EX,40X,,3,DC143C,00000
31EXC,E-Walk ,,3,DC143C,00000
27EX,Ring Dance Extra,,3,DC143C,00000
